155_Donor-54_TP01_CD8pos_C8	SRR7692832
156_Donor-54_TP01_CD8pos_D8	SRR7692833
157_Donor-54_TP01_CD8pos_E8	SRR7692834
158_Donor-54_TP01_CD8pos_F8	SRR7692835
159_Donor-54_TP01_CD8pos_G8	SRR7692836
160_Donor-54_TP01_CD8pos_H8	SRR7692837
161_Donor-54_TP01_CD8pos_A9	SRR7692838
162_Donor-54_TP01_CD8pos_B9	SRR7692839
163_Donor-54_TP01_CD8pos_C9	SRR7692840
164_Donor-54_TP01_CD8pos_D9	SRR7692841
165_Donor-54_TP01_CD8pos_E9	SRR7692842
166_Donor-54_TP01_CD8pos_F9	SRR7692843
167_Donor-54_TP01_CD8pos_G9	SRR7692844
168_Donor-54_TP01_CD8pos_H9	SRR7692845
169_Donor-54_TP01_CD8pos_A10	SRR7692846
170_Donor-54_TP01_CD8pos_B10	SRR7692847
171_Donor-54_TP01_CD8pos_C10	SRR7692848
172_Donor-54_TP01_CD8pos_D10	SRR7692849
173_Donor-54_TP01_CD8pos_E10	SRR7692850
174_Donor-54_TP01_CD8pos_F10	SRR7692851
175_Donor-54_TP01_CD8pos_G10	SRR7692852
176_Donor-54_TP01_CD8pos_H10	SRR7692853
177_Donor-54_TP01_CD8pos_A11	SRR7692854
178_Donor-54_TP01_CD8pos_B11	SRR7692855
179_Donor-54_TP01_CD8pos_C11	SRR7692856
180_Donor-54_TP01_CD8pos_D11	SRR7692857
181_Donor-54_TP01_CD8pos_E11	SRR7692858
182_Donor-54_TP01_CD8pos_F11	SRR7692859
183_Donor-54_TP01_CD8pos_G11	SRR7692860
184_Donor-54_TP01_CD8pos_H11	SRR7692861
185_Donor-54_TP01_CD8pos_A12	SRR7692862
186_Donor-54_TP01_CD8pos_B12	SRR7692863
187_Donor-54_TP01_CD8pos_C12	SRR7692864
188_Donor-54_TP01_CD8pos_D12	SRR7692865
189_Donor-54_TP01_CD8pos_E12	SRR7692866
190_Donor-54_TP01_CD8pos_F12	SRR7692867
191_Donor-54_TP01_CD8pos_G12	SRR7692868
192_Donor-54_TP01_CD8pos_H12	SRR7692869
